term,definition
총의,공동체 구성원 전체의 일반적인 동의
최고,상대방에게 일정한 행위를 하도록 일방적으로 독촉하는 통지를 말한다
추심명령,압류채권자에게 채무자가 제채무자에 대하여 가지고 있는 금전채권을 대위절차민법  조에 의하지 아니하고 채무자에 갈음하여 직접 추심할 수 있는 권리를 부여하는 집행법원의 결정
추정,불명확한 사실의 존부를 일단 정하여 법률효과를 발생시키는 것
추정상속인,장래에 상속이 개시된다고 가정하는 경우 상속인이 될 사람을 가르키는 말이다
추징,몰수 할 수 있는 물건 중에 범죄행위에 의하여 생기고 또는 이로 인하여 취득한 물건 범죄행위의 대가로 취득한 물건의 전부 또는 일부가 소비되었거나 분실 기타의 이유로 몰수 할 수 없게 된 경우에 그 물건에 상당한 가액을 징수하는 것이다형법 제조 항
추행,성욕의 흥분 자극 또는 만족을 목적으로 하는 행위로서 건전한 상식 있는 일반인에게 성적 수치나 혐오의 감정을 느끼게 하는 일체의 행위를 의미한다
추후보도청구권,언론에 의하여 범죄혐의가 있거나 형사상의 조치를 받았다고 보도 또는 공표된 자는 그에 대한 형사절차가 무죄판결 또는 이와 동등한 형태로 종결된 때에는 그 사실을 안 날부터 월 이내에 언론사에 이 사실에 관한 추후보도의 게재를 청구할 수 있는 권리
취득시효,다른 사람의 물건을 일정기간 가지고 있던 사람이 그 물건의 소유권을 가지거나 그 권리를 취득케하는 제도민법 제조
친고죄,피해자 및 기타 법률이 정한 자가 범죄에 대해 고소를 해야 공소를 제기할 수 있는 범죄
친권,부 또는 모가 미성년인 자를 보호 양육하고 그 재산을 관리하는 것을 내용으로 하는 권리  의무를 말한다민법 제조제조
친권자,자녀의 보호와 양육 그 재산을 관리하는 권리와 의무를 가지고 있는 사람
친족,혼인과 혈연을 기초로 하여 상호간에 관계를 가지는 사람을 말하는 법률상 용어로 일반적으로는 친척이라 부른다
토지관할,소재지를 달리하는같은 심급의 법원사이에 소송사건의 분담관계를 정해 놓은 것
통지,특정인 또는 불특정다수인에게 특정사실에 대해 알리는 행위
특례법,어떠한 법률이 규정하는 내용에 대해 특례를 규정하는 것을 목적으로 제정된 법률
특정물채권,민법상의 개념으로 구체적인 거래에 있어 당사자가 특히 목적물의 개성에 착안하여 목적물을 지정한 경우 그 목적물을 특정물이라 하는데 특정물의 인도를 목적으로 하는 채권민법 제조
편무계약,당사자의 일방이 채무를 부담하는 계약 혹은 서로 채무를 부담해도 그 채무가 대가적 관계에 있지 않은 계약
피고,민사소송 등에서 원고의 상대방으로서 원고가 낸 소를 받는 당사자가 피고이다
피성년후견인,질병이나 장애 노령 또는 그 밖의 사유로 인해 정상적인 사무를 처리할 능력이 지속적으로 결여되어 가정법원오부터 성년후견개시의 심판을 받은 사람민법 제조
피의자,범죄의 혐의가 있어 수사기관의 수사를 받고 있지만 아직 기소되지 아니한 사람
피해자,불법행위 또는 범죄로 인해 자신의 생명 신체 재산 명예를 위협 받은 사람
피해자의승낙,피해자가 자기의 법익에 대한 침해 행위를 허용  동의한 경우에는 가해자의 행위는 위법이 되지 않는다는 것을 말하며 형법상 위법조각사유의 하나이다형법 제조
함정수사,통상적인 수사방법으로서는 범죄 현장을 발견하고 피의자를 체포하기 어려운 지능적 범죄를 수사할 때 미리 만들어 놓은 함정에 걸려들게 하여 범인을 색출하는 수사방법
합동행위,동일한 목적을 가진 두 개 이상의 의사표시가 합치되어 성립하는 법률행위
합유,수인이 조합체로서 물건을 소유하는 소유형태민법 조 항로서 공동소유의 한 형태이다 개인적 색채가 강한 공유와 단체적 색채가 강한 총유의 중간적 성격을 가진다
합헌적법률해석,법률이 위헌처럼 보인다고 해도 헌법의 정신에 합치되도록 해석될 여지가  조금이라도 있다면 이를 위헌으로 함부로 판단할 것이 아니라 합헌으로 판단해야 한다는 법률해석방법
항고,판결 이외의 재판인 결정 명령에 대하여 불복하여 이의신청을 하는 것으로 법률이 항고할 수 있다고 정한 경우에 한해 항고가 가능하다
항고쟁송,행정소송과 행정심판을 합친 용어
항소,심법원의 판결에 대하여 불복이 있어서 상급법원에 다시 판결을 구하는 것
해석규정,당사자의 의사표시의 내용이 정확하지 않을 때 그것을 확실하게 해석하기 위한 규정을 말한다
행위능력,단독으로 확정적이고 유효한 법률행위를 할 수 있는 능력을 말한다
행위반가치,행위에 대한 부정적 가치판단을 뜻한다 결과에 대한 부정적 가치판단인 결과반가치와 대비된다
행정구제법,행정의 합법성과 국민의 권익보호를 지향하는 실질적 법치주의를 목적으로 하는 법률로서 행정소송법과 행정심판법을 지칭한다
행정규칙,행정기관이 정립하는 일반적인 규정으로 법규로서의 성질을 가지지 않은 추상적 명령
행정명령,행정기관에서 행정 목적을 달성하기 위해 직권으로 내리는 명령
행정심판,행정청의 위법부당한 처분 그밖에 공권력의 행사불행사 등으로 인하여 자신의 권리 또는 이익을 침해받은 국민이 행정기관에 권리구제를 제기하는 제도
행정절차,행정기관이 행정권을 행사할 때 거쳐야 하는 법적절차
행정행위의부관,행정행위의 효과를 제한하기 위하여 그 주된 의사표시에 부과된 종된 의사표시
허위사실유포,사실이 아닌 허위의 내용을 특정인 또는 불특정 다수인에게 알리는 것
허위표시,사실이 아님을 알면서 행하는 의사표시로서 허위표시에 의한 법률행위는 당사자간에는 무효이다민법 제조
헌법불합치,사실상 위헌이지만 법의 공백과 사회적인 혼란을 막기 위해 즉각적으로 무효화 시키지 않고 개정할 때까지 한시적으로 법률의 효력을 존속시키는 위헌결정의 일종
현물출자,금전외의 재산인 토지나 부동산 유가증권 동산 특허권 등의 무형자산 등에 의한 출자형태
현장검증,수사기관이 범죄현장이나 기타 관련된 장소에서 실시하는 검증
혈족,친자 형제 자매 등과 같이 사실상 자연혈연관계로 이어져 있는 관계
호의관계,민법상의 개념으로 법적으로 구속받으려는 의사 없이 행하여진 생활관계를 말하는 것으로 법률관계와 구별된다
환매,다른 사람에게 팔았던 물건을 다시 구매하는 것민법 제조
환취권,파산재단에 속하지 않는 제자의 특정재산을 파산관재인이 파산재단으로 편입하여 관리하고 있을 때 그 재산의 실제 소유자인 제자가 그 반환이나 인도를 구하는 권리
회사의능력,상법상 회사의 권리능력을 말하는 법률용어로서 회사의 권리와 의무를 말한다
훈시규정,법률의 규정 가운데서 오로지 법원이나 행정부에 대한 명령의 성질을 가진 규정으로 이를 위반하여도 소송법상 효력에는 영향이 없다
훼손,물품의 전부 또는 일부가 파손 변질 변형되어 보수를 통해 원상 복귀가 불가능하거나 보수할 가치가 없는 상태
가등기권리자,가등기권리자란 건물의 소유자에게 돈을 빌려 주거나 건물의 매매를 약속 하기 위해 임시등기인 가등기를 설정하는 사람을 의미합니다
가등기권자,가등기권리자란 건물의 소유자에게 돈을 빌려 주거나 건물의 매매를 약속 하기 위해 임시등기인 가등기를 설정하는 사람을 의미합니다
매도인,매도인이란 물건을 파는 사람이란 뜻으로 부동산 임대차상에서는 건물이나 집 등을 판매하는 사람을 말합니다
가압류권자,가압류권자란 돈을 빌려 간 사람의 재산을 처분하지 못하도록 법원에 가압류를 신청한 사람을 말합니다
가압류등기,건물의 소유자가 돈을 빌려 갚지 못했을 경우에 재산인 부동산을 숨기거나 팔아 버릴 수 없도록 가압류를 신청할 수 있습니다 가압류등기란 이러한 가압류가 신청된 부동산임을 누구든지 알 수 있도록 표시한 등기를 의미합니다
가압류채권자,가압류채권자란 돈을 받을 권리가 있는 사람이 돈을 확실히 받을 수 있도록 돈을 갚아야 하는 사람의 재산을 보전하기 위하여 가압류를 신청하고 가압류 등기를 마친 사람을 의미합니다
간이인도,간이인도란 소유권을 넘겨받을 사람이 이미 그 토지 또는 주택을 사용하고 있는 경우 소유권을 넘긴다는 양쪽의 합의와 의사표시만으로 이루어지는 부동산거래의 한 방법입니다
간접점유자,간접점유자란 임대차계약 등으로 다른 사람이 집이나 건물을 점유하여 사용하게 한 사람을 말합니다
강제경매,강제경매란 돈을 받기 위해 채권자돈 받을 사람가 채무자돈 갚을 사람을 상대로 법원에 재판청구를 하여 승소한 다음 그 판결을 집행권원으로 하여 채무자의 부동산 등 재산을 압류하여 경매를 통해 부동산 등의 재산을 매각한 후 그 대금으로 빌려 준 돈을 갚도록 하는 강제 집행 절차입니다
강제경매절차,강제경매절차란 돈을 받기 위해 채권자돈 받을 사람가 채무자돈 갚을 사람을 상대로 법원에 재판청구를 하여 승소한 다음 그 판결을 집행권원으로 하여 채무자의 부동산 등 재산을 압류하여 경매를 통해 부동산 등의 재산을 매각한 후 그 대금으로 빌려 준 돈을 갚도록 하는 절차를 말합니다
건축물관리대장,건축물관리대장이란 건물의 사실상의 상황을 기재하는 장부로 건축물의 소재지 번호 면적 등을 자세하게 기록한 문서를 의미합니다
건축물대장,건축물대장이란 건물의 사실상의 상황을 기재하는 장부로 건축물의 소재지 번호 면적 등을 자세하게 기록한 문서를 의미합니다
겸용주택,겸용주택이란 한 개의 건물 안에 주거 생활을 위한 공간과 다른 용도를 위한 공간이 같이 있는 주택을 말합니다
겸유,두 가지 이상을 함께 가지는 것을 겸유라고 합니다
경락,경락이란 경매를 통하여 동산 또는 부동산의 소유권을 취득하는 일을 말합니다 같은 말로는 낙찰이 있습니다
경락받은자,경락 받은 자란 경매를 통해서 동산 또는 부동산의 소유권을 취득하게 된 사람을 말합니다
경락인,경락인이란 경매를 통해서 동산 또는 부동산의 소유권을 취득하게 된 사람을 말합니다
경료,경료란 완전히 끝마침을 의미합니다 같은 말로는 완료가 있습니다
경매,경매란 건물이나 물건 등을 사려는 사람이 여럿일 때 값을 가장 높이 부르는 사람에게 건물이나 물건을 파는 일을 말합니다 
경매개시,경매개시란 경매 절차의 진행하라는 법원의 결정경매개시결정에 따라 경매 절차를 시작하는 것을 의미합니다
경매대가,경매대가란 경매에서 동산 또는 부동산을 낙찰 받은 가장 높은 가격을 의미합니다
경매대금,경매대가란 경매에서 동산 또는 부동산을 낙찰 받은 가장 높은 가격을 의미합니다
계약금,계약금이란 계약의 실행을 보장받고 계약의 취소로 인해 피해를 입지 않도록 계약 당사자 한쪽이 상대편에게 미리 제공하는 금액을 말합니다
계약해제상실,계약해제상실이란 계약해제로 소유권을 상실함을 말합니다
공동명의,공동명의란 계약을 하거나 문서상에 기록을 할 때 두 명 이상으로 권리를 설정 하는 것을 말합니다
공매,공매란 국가기관이 세금 또는 국가 추징금을 체납한 사람의 재산을 강제로 경매하는 것을 의미합니다
공매절차,공매절차란 세금 또는 국가 추징금을 체납한 사람의 재산을 국가기관이 강제로 경매하여 최고가에 팔아 세금과 국가 추징금을 갚도록 하는 경매절차를 의미합니다
공부,공부란 관공서가 법령이 정한 규정에 따라서 작성하고 이를 누구나 볼 수 있도록 비치하는 장부를 말합니다 임대차와 관련한 공부에는 토지대장 건축물대장 등기부 등이 있습니다
공시방법,공시방법이란 권리의 변동 사실을 다른 사람들이 알 수 있도록 나타내는 것을 의미합니다
구분건물,구분건물이란 한 개의 건물을 각 호실 등으로 구분하여 그 각 부분을 별개의 부동산으로 소유하는 형태의 건물을 말합니다 아파트 등 공동주택 상가 오피스 등은 구분건물에 해당하는 경우가 많습니다 집합건물
구분등기,구분등기란 한 개의 건물이 여러 개의 공간으로 사용될 때 각 공간의 소유권을 따로 구분할 수 있도록 개별적으로 등기하는 것을 말합니다
국내거소,국내거소란 재외동포가 국내에 입국한 후 일 이상 거주할 목적으로 체류하는 장소를 말합니다
국내거소신고,국내거소신고란 재외동포가 국내에서 거주하는 장소를 출입국관리사무실에 신고하는 것을 말합니다
근린생활시설,근린생활시설이란 일반적으로 주택가와 가까워 주민들의 생활 편의를 도울 수 있는 시설을 말합니다 슈퍼마켓 대중음식점 의원 등이 근린생활시설에 속합니다
근저당권,근저당권이란 채무자의 현재의 빚채무이 확정되지 않은 상태에서 채무자가 장래 빚채무을 변제하지 못할 것을 대비하여 채권최고액을 정한 후 이를 한도로 하여 채무자 또는 제자의 재산으로부터 다른 채권자에 우선하여 변제 받기 위하여 그 재산에 설정하는 권리입니다 그 중 포괄근저당은 하나의 채무원인이 아닌 해당 근저당권자와의 모든 거래관계에서 발생한 채무를 담보하는 근저당으로 주의를 요합니다
기입등기,기입등기란 건물을 팔거나 상속 등으로 건물의 권리관계가 변하였을 때 새로운 내용을 등기부등본에 기록하는 것을 말합니다 특히 임대차계약에서 매매를 통해 부동산을 구입하면 신속히 소유권이전등기를 해야 합니다
낙찰,낙찰이란 경매나 경쟁입찰에서 입찰에 의하여 계약의 성립되는 것으로 최고가매수인이나 최저가판매인이 낙찰자로 결정됩니다
낙찰대금,낙찰대금이란 경매에서 동산 또는 부동산을 낙찰 받은 사람이 제시한 금액을 의미합니다
낙찰대금지급기일,낙찰대금지급기일이란 경매에서 동산 또는 부동산을 낙찰 받은 사람이 낙찰대금을 지급해야 하는 기한을 의미합니다
낙찰인,낙찰인이란 경매를 통해서 동산 또는 부동산의 소유권을 얻게 된 사람을 말합니다 즉 경매에서 건물이나 물건을 낙찰 받은 사람이 낙찰인입니다
낙찰자,낙찰자란 경매를 통해서 동산 또는 부동산의 소유권을 얻게 된 사람을 말합니다 즉 경매에서 건물이나 물건을 낙찰 받은 사람이 낙찰자입니다
다가구용단독주택,다가구용단독주택이란 한 건물에 구획마다 한 가구씩 개별로 생활할 수 있으나 각 구획을 분리해서 소유하거나 매매분양하는 것이 불가능한 주택을 의미합니다
다세대주택,다세대주택이란 한 건물에 다수의 세대가 거주할 수 있도록 주거공간이 별도로 분리되어 있는 주택을 의미합니다 다세대주택은 다가구주택다가구용단독주택과 달리 각 구획을 분리하여 소유하거나 매매 하는 것이 가능합니다
단독주택,단독주택이란 한 건물에 하나의 세대가 거주하는 주택을 의미합니다
담보가등기,담보가등기란 건물을 담보로 돈을 빌리고 빚을 갚지 못하면 건물의 소유권을 넘겨받기 위해 임시로 등기를 해 놓는 행위입니다
가등기담보,가압류란 돈을 빌리거나 세금을 체납한 사람의 재산을 임시로 확보하는 것을 말합니다 돈을 빌린 사람이 재산을 숨기거나 팔아 버릴 우려가 있을 경우에 강제로 돈을 갚도록 하는 절차인 강제 집행을 하기 위한 재산의 보존 절차로 볼 수 있습니다
담보권,담보권이란 채무자가 빚을 갚지 않을 경우에 채권자의 불이익을 막기 위해서 담보로 제공된 물건 또는 사람으로부터 변제를 받을 수 있는 권리를 의미합니다
담보권자,담보권자란 채무자가 빚을 갚지 않을 경우에 담보로 제공된 물건 또는 사람으로부터 변제를 받을 수 있는 권리를 가진 자를 의미합니다
담보목적,담보목적은 채무자가 빚을 갚지 못할 경우를 대비하여 제공되는 그 물건 또는 채권으로부터 변제 받기 위한 목적을 의미합니다
대위행사,대위행사란 타인의 권리를 대신 행사하는 것을 의미합니다
대지,대지란 건물을 지을 수 있는 용도로 쓰일 토지로 공간정보의 구축 및 관리 등에 관한 법률에 따라 각 필지로 나눈 토지를 말합니다
대항요건,대항요건이란 계약 당사자 외의 사람들에게 계약의 적법한 권리를 주장하기 위해서 갖추어야 할 요건을 의미합니다 주택임대차보호법상에서 주택의 인도이사와 주민등록전입신고의 완료가 대항력을 취득할 수 있는 대항요건입니다
등기,등기란 법정절차에 따라서 부동산의 권리관계를 등기부에 등록하는 행위 또는 기재 그 자체를 의미합니다
등기부,등기부란 부동산에 대한 소유권의 변동 담보의 유무 저당권 근저당권의 설정 유무 등의 정보를 표시하고 있는 장부를 의미합니다 따라서 임대차 계약 시 등기부등본을 필수적으로 확인하셔야 합니다
등기부등본,등기부등본이란 부동산에 대한 소유권의 변동 담보의 유무 저당권 근저당권의 설정 유무 등의 정보를 표시하고 있는 장부를 의미합니다 따라서 임대차 계약 시 등기부등본을 필수적으로 확인하셔야 합니다
말소,말소란 기록되어 있는 사실을 지워서 완전히 없애 버림을 의미합니다 예를 들어 등록된 주민등록을 삭제 시켜 버리는 것을 주민등록 말소라고 합니다
매매계약,매매계약이란 건물이나 물건을 팔기 위한 계약입니다 계약의 한 쪽은 팔려는 건물이나 물건을 넘겨줄 의무가 있고 상대편은 대금을 지급할 의무를 가집니다
매매목적물,매매목적물이란 매매의 대상이 되는 건물을 의미합니다 만약 주택을 판매하고자 한다면 그 주택이 매매목적물에 해당합니다
명도,명도란 건물이나 토지의 점유를 남에게 넘겨주는 것을 의미합니다 인도라고도 합니다
명도청구,명도청구란 임대차계약에서 임대기간이 종료되었음에도 임차인이 빌린 건물을 반환하지 않을 경우에 건물을 넘겨줄 것을 청구하는 것을 의미합니다
명의수탁자,명의수탁자란 부동산의 실제소유자에게 명의를 빌려 준 사람을 의미합니다 예를 들어 실소유자가 다른 사람의 이름을 빌려 소유권 등기를 하는 경우 그 명의를 빌려 준 사람이 명의수탁자입니다
명의신탁자,명의신탁자란 타인에게 명의를 빌린 사람으로 실제 부동산 소유자를 의미합니다
미등기전세계약,미등기전세계약이란 집주인이 아직 등기를 하지 않은 주택을 전세로 빌리는 것을 말합니다
배당요구,배당요구란 채권자가 경매의 낙찰금에 대해서 배당을 해줄 것을 신청하는 행위입니다 배당을 신청하지 않는다면 배당을 받지 못하게 되니 반드시 신청해야 합니다
배당절차,배당절차란 집행관이 채무자로부터 압류한 재산을 경매한 후에 그 돈을 여러 채권자에게 나누어 주는 재판의 절차입니다
배당표,배당표란 경매를 집행하는 법원이 여러 채권자에게 그 우선순위 또는 채권액 비율에 따라 나눠 주기 위해서 작성하는 문서입니다
법인,법인이란 법률관계의 주체로서의 지위를 가지는 사람들의 모임이나 특정한 재산을 의미합니다 사단과 재단 등이 법인에 속합니다
법정대리인,법정대리인이란 당사자가 위임하지 않아도 당연히 법률행위를 대신할 권리가 있는 사람을 의미합니다 미성년자의 친권자 또는 후견인이 해당합니다
보증금,보증금이란 미래에 발생할 수 있는 서로간의 불이익을 막고자 임차인이 미리 임대인에게 지급하는 금전을 의미합니다 예를 들면 전세계약의 전세금은 보증금에 해당합니다
본등기,본등기란 임시등기인 가등기와 다르게 권리 관계의 효력을 완전하게 발생시키는 본래 등기를 의미합니다
본안판결,본안판결이란 소송을 제기한 원고의 청구가 정당한지 여부에 대하여 판단하여 내리는 판결을 의미합니다
부당이득,부당이득이란 타인의 재산에 손해를 끼치며 적법하지 않게 얻은 이득을 말합니다
부당이득반환,부당이득반환이란 타인의 재산에 손해를 끼치며 적법하지 않게 얻은 이득을 다시 반환하는 것을 말합니다
분양목적물,분양목적물이란 분양의 대상이 되는 건물을 의미합니다 아파트나 상가 등이 분양목적물이 됩니다
비주거용,비주거용이란 사람이 일상생활을 할 목적으로 만든 것이 아닌 건물을 말합니다 일반적으로 상가 등이 해당하지만 부동산 임대차법에 따르면 비주거용 건물이라도 주거용으로 볼 수 있는 조건을 만족한다면 주거용으로 인정하는 판례가 있습니다
비주거용건물,비주거용건물이란 사람이 일상생활을 할 목적이 아닌 다른 용도로 건축한 건물을 의미합니다 상업용건물로 상가 등이 해당합니다
사업자등록,사업자등록이란 사업의 시작을 알리기 위해 관할세무서에 신고하는 절차를 의미합니다 상가건물임대차보호법의 대항력을 갖추기 위해서 꼭 필요한 절차입니다
사해행위,채무자가 집을 갚지 않기 위하여 재산을 고의로 다른 사람의 명의로 바꾸거나 처분하거나 숨겨 두어 채권자가 빚을 돌려 받기 어렵게 만드는 행위 등을 의미합니다
소관청,소관청이란 어떤 지역이나 특정 사무를 맡아 관리하는 국가 기관을 말합니다
소액보증금,소액보증금이란 주택임대차보호법에 따라 최우선으로 변제 받을 수 있는 일정 금액 이하의 적은 보증금을 의미합니다 소액보증금의 금액은 지역과 담보 설정일자에 따라 달라지며 소액보증금 전액이 아니라 소액보증금 중 일정액이 최우선 보장됩니다
소유권,건물이나 물건에 대하여 소유권을 갖는 소유자가 법률의 범위 내에서 자유로이 사용 수익 처분할 수 있는 권리입니다
소유권보존등기,아직 등기가 이뤄 지지 않은 부동산에 대하여 소유권자가 누구인지를 보존하기 위하여 하는 등기를 의미합니다 보존등기는 부동산에 관하여 최초의 등기로 이후에 일어나는 권리변동과 등기는 보존등기를 기초로 하여 이뤄 지게 됩니다
소유권이전등기,소유권이전등기란 부동산을 산 뒤 구매자의 명의로 소유권을 이전 하는 등기를 의미합니다
손해배상책임,손해배상책임이란 손해를 끼친 사람이 손해를 입은 사람에게 배상하여야 할 책임을 지는 것을 의미합니다
수탁자,수탁자란 다른 사람의 부탁을 받거나 건물이나 물건을 대신 맡아 주는 사람을 의미합니다
승계,승계란 다른 사람의 권리나 의무를 이어받는 일을 의미합니다
시가,시가란 시장에서 건물이 매매되는 가격을 의미합니다
신탁,신탁이란 믿고 맡긴다는 뜻으로 법률상에서는 일정한 목적에 따라 재산의 관리와 처분을 남에게 맡기는 일을 의미합니다
신탁법,신탁법이란 일정한 목적에 따라 재산의 관리와 처분을 남에게 맡기는 일과 관련하여 법률관계의 질서를 유지하기 위한 목적으로 제정한 법입니다
실질가액,실질가액이란 실제적인 가격을 의미합니다
양도,양도란 법률의 권리나 재산을 남에게 넘겨주는 일을 의미합니다
양도담보,양도담보란 채무자가 자신의 재산에 대한 소유권을 채권자에게 넘겨주는 대신에 돈을 빌리고 일정 기간 내에 갚으면 재산에 대한 소유권을 다시 반환 받는 담보를 말합니다
양도담보권자,양도담보권자란 건물의 소유권을 담보로 돈을 빌린 사람에게 돈을 빌려 준 사람을 의미합니다
양도인,양도인이란 법률의 권리나 재산을 남에게 넘겨주는 사람을 의미합니다 건물의 매매계약에서 건물의 전 소유자는 양도인에 해당합니다 
양수,양수란 법률의 권리나 재산을 남으로부터 넘겨 받는 일을 의미합니다
양수인,양수인이란 법률의 권리나 재산을 남으로부터 넘겨 받는 사람을 의미합니다 건물이 경매를 통해서 새로운 소유자가 등장하면 신 소유자가 양수인에 해당합니다
영업용면적,영업용면적이란 해당 건물 내에서 영업을 하기 위해 사용하는 면적입니다 
영주권자,영주권자란 그 나라의 국적을 소지하지 않아도 해당 국가에서 살 수 있는 권리를 가진 외국인을 의미합니다 
이행지체,이행강제금이란 상가나 주택의 불법건축물을 적발한 후 철거 등 시정 명령에 따르도록 하기 위해 건축주 또는 건물 소유주에게 부과하는 것을 의미합니다
일괄경매,일괄경매란 여러 개의 부동산의 위치 이용관계 등을 고려했을 때 나눠서 경매하게 되면 부동산 값어치가 떨어질 위험이 있을 경우 이를 모두 합쳐서 일괄적으로 하는 경매를 의미합니다
임대,임대란 계약의 당사자 가운데 한쪽이 상대편에게 부동산 등 물건을 사용하게 하고 상대편은 이에 대하여 일정한 임차료를 지급할 것을 약속하는 계약입니다 계약을 통해서 빌려 주는 사람은 임대인이 되고 빌리는 사람은 임차인이 됩니다
임대아파트,임대아파트란 임대주택의 일종으로서 정부와 주택기금의 자금을 이용해 건설한 아파트입니다
임대인,임대인이란 임대차 계약에 따라 돈을 받고 다른 사람에게 물건을 빌려 준 사람입니다 통상 주택 임대차 계약에서 임대인은 주택의 소유주가 됩니다
임대주택,임대주택이란 국가 또는 민간 건설업체가 건축하여 주민에게 임대하는 주택입니다
임대차계약,임대차계약이란 계약의 당사자 가운데 한쪽이 상대편에게 부동산을 사용하게 하고 상대편은 이에 대하여 일정한 임차료를 지급할 것을 내용으로 하는 계약입니다 
임대차계약기간,임대차계약기간이란 임대차계약이 유지되는 기간을 의미합니다
임대차계약서,임대차계약서란 계약의 당사자 가운데 한쪽이 상대편에게 부동산을 사용하게 하고 상대편은 이에 대하여 일정한 임차료를 지급할 것을 내용으로 하는 계약을 할 때 적는 계약서를 의미합니다
임대차기간,임대차기간이란 임대차계약이 유지되는 기간을 의미합니다
임대차등기,임대차 계약을 한 뒤에 법정절차에 따라 임대차 계약 체결사실을 부동산등기부에 등기하는 것을 의미합니다 임대차등기를 한 경우 임대인에게 보증금을 반환 받지 못했을 때 주민등록을 옮기더라도 임차인의 대항력 및 우선변제권을 유지할 수 있습니다
임대차목적물,임대차목적물이란 임대차 계약의 대상이 되는 건물을 의미합니다 부동산임대차에서는 아파트 원룸 상가 등이 임대차목적물에 해당합니다 
임대차보증금반환채권,임대차보증금반환채권이란 임대차보증금을 돌려받을 수 있는 권리를 말합니다
임의경매,임의경매란 담보권을 가진 채권자가 빌려 준 돈을 돌려 받기 위해서 강제로 채무자의 재산을 경매로 매각한 다음 다른 채권자 보다 먼저 빌려 준 돈을 회수하는 강제집행 절차입니다
임차,임차란 돈을 내고 타인의 건물을 빌리는 것을 의미합니다
임차권,임차권이란 임대차 계약에서 빌려 쓰는 사람이 그 건물을 사용하고 이익을 얻을 수 있는 권리를 의미합니다
임차권등기,임차권등기란 임대차 계약이 종료됐으나 보증금을 돌려 받지 못한 상태에서 이사를 가야 할 경우에 대항력을 유지하기 위해 설정하는 등기를 의미합니다
임차권자,임차권자란 임대차 계약에서 건물을 사용하고 이익을 얻을 수 있는 권리를 가진 자를 의미합니다 주택임대차계약에서의 임차권자는 건물을 빌린 사람 즉 임차인입니다
임차물,임차물이란 임차인이 빌리는 물건을 말하는 것으로 부동산임대차에서는 주택 상가 토지 등이 임차물이 됩니다
임차보증금반환채무,임차보증금반환채무란 임대차보증금을 돌려주어야 하는 의무로 집주인은 계약기간이 끝나면 세입자에게 보증금을 돌려주어야 하는 임차보증금반환채무를 가집니다
임차인,임차인이란 임대차 계약에서 돈을 내고 건물을 빌려 쓰는 사람입니다
임차주택,임차주택이란 임대계약의 목적이 되는 주택을 의미합니다 
저당권설정등기,저당권설정등기란 돈을 빌린 사람이 갚지 않을 것을 대비해서 다른 채권자보다 우선해서 돈을 돌려받기 위해 채권자가 채무자의 부동산 재산에 설정해두는 권리를 설정하고자 신청하는 등기를 의미합니다
전대,전대란 다른 사람으로부터 물건을 빌린 사람이 빌린 물건을 제자에게 다시 빌려 주는 계약을 말합니다 부동산임대차의 경우 임대한 건물이나 주택을 남에게 다시 빌려 주는 것을 전대라고 합니다
전세계약,전세계약이란 부동산의 소유자에게 일정한 금액을 맡기고 그 부동산을 일정 기간 동안 빌려 쓰는 계약을 의미합니다
전세권설정등기,전세권설정등기란 전세계약을 맺고 생긴 전세권을 모든 사람들이 알 수 있도록 등기부등본상에 기록하여 표시하는 것을 의미합니다
전세권자,전세권자란 전세금을 지급하고 부동산을 점유하여 그 부동산을 사용하고 수익할 권리를 가진 사람을 의미합니다 즉 전세계약을 맺고 전세권을 가진 세입자가 전세권자가 됩니다
전세금,전세금이란 전세를 얻을 때 부동산의 소유주집주인에게 맡기는 돈을 의미합니다
전세임대주택,전세임대주택이란 지방자치단체나 한국토지주택공사가 전세계약을 한 주택을 최저소득계층에게 저렴하게 재임대해 주는 제도입니다
전유부분,전유부분이란 남과 공유하지 않고 혼자서만 쓸 수 있는 개별적으로 소유하는 부분입니다 아파트의 한 세대는 하나의 전유부분에 해당합니다
전입신고,전입신고란 거주지를 옮길 때 주소지 변경 및 등록을 위하여 관할 관청에 이를 신청하는 일 또는 그 서류를 의미합니다 주택임대차보호법상 전입신고는 주민등록과 의미가 같습니다
전차,전차란 남이 빌린 것을 다시 빌리는 것을 의미합니다 부동산임차의 경우 다른 사람이 임대한 건물을 다시 빌리는 것을 전차라고 합니다
전차인,전차인이란 부동산임대차의 경우 다른 사람이 임차한 건물을 다시 임차하여 사용하는 사람을 말합니다 즉 집주인임대인이 아닌 세입자임차인로부터 다시 임차한 사람을 말합니다
점유개정,점유개정이란 갑이 을에게 부동산을 매매하고 다시 그 집을 임차하는 경우 부동산의 점유를 굳이 을에게 넘겼다가 다시 빌리는 행위를 하지 않고 계속 점유하면서 소유권만 넘기는 것과 같은 행위를 말합니다
점유보조자,점유보조자란 점유자의 지시를 받고 물건에 대한 사실상의 지배를 하는 사람을 의미합니다 상점의 점원 집주인에게 고용된 가정부 등이 해당합니다
종국적,종국적이란 결론적 마지막을 뜻합니다
주거용건물,주거용 건물이란 사람이 일상생활을 할 목적으로 건축한 건물을 의미합니다 단독주택 아파트 다세대주택 등이 있습니다 
